 # IDSA ray
 # dr [km]   dr[km]  Rin[km]  R[km]  Rout[km]
   0.6180311E+00   0.6180311E+00   0.1404146E+03   0.1407237E+03   0.1410327E+03
   0.6230735E+00   0.6230735E+00   0.1410327E+03   0.1413442E+03   0.1416557E+03
   0.6281571E+00   0.6281571E+00   0.1416557E+03   0.1419698E+03   0.1422839E+03
   0.6332822E+00   0.6332822E+00   0.1422839E+03   0.1426005E+03   0.1429172E+03
   0.6384490E+00   0.6384490E+00   0.1429172E+03   0.1432364E+03   0.1435556E+03
   0.6436581E+00   0.6436581E+00   0.1435556E+03   0.1438775E+03   0.1441993E+03
   0.6489096E+00   0.6489096E+00   0.1441993E+03   0.1445237E+03   0.1448482E+03
   0.6542039E+00   0.6542039E+00   0.1448482E+03   0.1451753E+03   0.1455024E+03
   0.6595415E+00   0.6595415E+00   0.1455024E+03   0.1458322E+03   0.1461619E+03
   0.6649226E+00   0.6649226E+00   0.1461619E+03   0.1464944E+03   0.1468269E+03
   0.6703476E+00   0.6703476E+00   0.1468269E+03   0.1471620E+03   0.1474972E+03
   0.6758169E+00   0.6758169E+00   0.1474972E+03   0.1478351E+03   0.1481730E+03
   0.6813308E+00   0.6813308E+00   0.1481730E+03   0.1485137E+03   0.1488544E+03
   0.6868897E+00   0.6868897E+00   0.1488544E+03   0.1491978E+03   0.1495413E+03
   0.6924940E+00   0.6924940E+00   0.1495413E+03   0.1498875E+03   0.1502337E+03
